Exchange,Token,Ltp,Change,Exchange Timestamp,Volume
1,1330,1841.15,4294966291,2020-09-02 14:36:35,2697884
1,1330,1841.5,4294966326,2020-09-02 14:36:36,2698080
1,1330,1840.9,4294966266,2020-09-02 14:36:38,2698643
1,1330,1841.2,4294966296,2020-09-02 14:36:38,2698719
1,1330,1840.2,4294966196,2020-09-02 14:36:39,2699021
1,1330,1840.2,4294966196,2020-09-02 14:36:40,2699107
1,1330,1840.7,4294966246,2020-09-02 14:36:42,2699128
1,1330,1840.7,4294966246,2020-09-02 14:36:42,2699126
1,1330,1840.7,4294966246,2020-09-02 14:36:43,2699129
1,1330,1840.2,4294966196,2020-09-02 14:36:44,2699184
1,1330,1839.5,4294966126,2020-09-02 14:36:45,2702127
1,1330,1839.8,4294966156,2020-09-02 14:36:46,2702263
1,1330,1839.7,4294966146,2020-09-02 14:36:48,2702710
1,1330,1839.8,4294966156,2020-09-02 14:36:49,2702790
1,1330,1839.25,4294966101,2020-09-02 14:36:49,2702998
1,1330,1839.3,4294966106,2020-09-02 14:36:50,2703244
1,1330,1839.8,4294966156,2020-09-02 14:36:51,2703375
1,1330,1839.8,4294966156,2020-09-02 14:36:52,2703754
1,1330,1839.2,4294966096,2020-09-02 14:36:54,2704301
1,1330,1839.9,4294966166,2020-09-02 14:36:54,2704674
1,1330,1839.8,4294966156,2020-09-02 14:36:55,2704711
1,1330,1839.8,4294966156,2020-09-02 14:36:57,2704880
1,1330,1840.2,4294966196,2020-09-02 14:36:58,2706497
1,1330,1840.7,4294966246,2020-09-02 14:36:59,2706617
1,1330,1840.7,4294966246,2020-09-02 14:36:59,2706739
1,1330,1840.3,4294966206,2020-09-02 14:37:00,2706857
1,1330,1840.3,4294966206,2020-09-02 14:37:01,2706870
1,1330,1840.3,4294966206,2020-09-02 14:37:03,2706906
1,1330,1840.95,4294966271,2020-09-02 14:37:03,2706909
1,1330,1840.3,4294966206,2020-09-02 14:37:04,2706915
1,1330,1840.3,4294966206,2020-09-02 14:37:05,2706915
1,1330,1840.95,4294966271,2020-09-02 14:37:07,2707031
1,1330,1840.5,4294966226,2020-09-02 14:37:07,2707246
1,1330,1840.5,4294966226,2020-09-02 14:37:08,2707282
1,1330,1840.5,4294966226,2020-09-02 14:37:10,2707779
1,1330,1840.75,4294966251,2020-09-02 14:37:10,2707929
1,1330,1840.75,4294966251,2020-09-02 14:37:11,2707970
1,1330,1840.25,4294966201,2020-09-02 14:37:13,2709091
1,1330,1840.05,4294966181,2020-09-02 14:37:14,2709341
1,1330,1840.0,4294966176,2020-09-02 14:37:15,2709476
1,1330,1840.4,4294966216,2020-09-02 14:37:15,2709619
1,1330,1840.35,4294966211,2020-09-02 14:37:16,2709641
1,1330,1840.35,4294966211,2020-09-02 14:37:17,2709643
1,1330,1840.35,4294966211,2020-09-02 14:37:19,2709844
1,1330,1840.05,4294966181,2020-09-02 14:37:19,2709865
1,1330,1840.2,4294966196,2020-09-02 14:37:20,2710072
1,1330,1840.05,4294966181,2020-09-02 14:37:22,2710104
1,1330,1840.2,4294966196,2020-09-02 14:37:22,2710107
1,1330,1840.2,4294966196,2020-09-02 14:37:23,2710107
1,1330,1840.05,4294966181,2020-09-02 14:37:24,2710108
1,1330,1840.0,4294966176,2020-09-02 14:37:26,2711612
1,1330,1840.0,4294966176,2020-09-02 14:37:26,2711914
1,1330,1840.05,4294966181,2020-09-02 14:37:27,2712120
1,1330,1839.95,4294966171,2020-09-02 14:37:28,2712205
1,1330,1839.95,4294966171,2020-09-02 14:37:30,2712258
1,1330,1840.0,4294966176,2020-09-02 14:37:30,2712276
1,1330,1840.0,4294966176,2020-09-02 14:37:32,2712286
1,1330,1839.95,4294966171,2020-09-02 14:37:33,2712439
1,1330,1840.0,4294966176,2020-09-02 14:37:33,2712455
1,1330,1839.5,4294966126,2020-09-02 14:37:34,2712904
1,1330,1839.2,4294966096,2020-09-02 14:37:35,2713209
1,1330,1839.5,4294966126,2020-09-02 14:37:36,2713244
1,1330,1839.2,4294966096,2020-09-02 14:37:37,2713644
1,1330,1839.2,4294966096,2020-09-02 14:37:38,2713780
1,1330,1839.2,4294966096,2020-09-02 14:37:40,2713794
1,1330,1839.2,4294966096,2020-09-02 14:37:41,2713795
1,1330,1839.2,4294966096,2020-09-02 14:37:42,2713795
1,1330,1839.2,4294966096,2020-09-02 14:37:42,2713796
1,1330,1839.2,4294966096,2020-09-02 14:37:43,2713796
1,1330,1838.5,4294966026,2020-09-02 14:37:45,2714362
1,1330,1839.2,4294966096,2020-09-02 14:37:45,2714419
